id,official_id,title,title_reduced,title_reduced_EN,vote_link,proposal_link,author,summary,summary_reduced,summary_reduced_EN,counter,counter_reduced,counter_reduced_EN,tag_1,tag_2,type,PS,PSD,CH,IL,PCP,BE,PAN,L,final_result,Comments,LEN_title,LEN_summary,LEN_counter
1,834/XV/1,Altera os requisitos e os impedimentos para a candidatura a família de acolhimento e alarga os apoios concedidos ao abrigo da medida de apoio junto de outro familiar e de confiança a pessoa idónea,Diminuir impedimentos legais para famílias de acolhimento,Reduce legal impediments for foster families,11-1-2024,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=173090,BE,"O Projeto de Lei propõe alterações significativas na legislação referente ao acolhimento familiar, procurando promover a desinstitucionalização de crianças e jovens em risco. Com base na Estratégia Nacional para os Direitos das Crianças e em estratégias europeias similares, a iniciativa visa aumentar o número de famílias de acolhimento em detrimento do acolhimento residencial. Para atingir esse objetivo, propõe-se a revisão dos requisitos e impedimentos para candidaturas a famílias de acolhimento, removendo restrições como a proibição de laços de parentesco e a impossibilidade de candidatura à adoção. Além disso, busca equiparar as famílias de acolhimento a outras formas de acolhimento, como apoio junto de outro familiar e confiança a pessoa idónea, ampliando os apoios concedidos.

A proposta enfatiza a importância de colocar crianças em ambientes familiares, destacando que apenas 3,5% das crianças em situação de acolhimento estão integradas em famílias, enquanto 96,5% permanecem em acolhimento residencial. Ao remover obstáculos legais e equiparar diferentes formas de acolhimento, a intenção é favorecer a desinstitucionalização e melhor proteger o superior interesse das crianças, promovendo ambientes mais adequados e estáveis para o seu desenvolvimento.","É urgente aumentar o número de famílias de acolhimento (96,5% das crianças encontram-se em acolhimento residencial e apenas 3,5% estão integradas em famílias). Propõe-se remover alguns obstáculos presentes na lei:

- Famílias candidatas a acolhimento familiar pode ter laço de parentesco com a criança (atualmente não podem).
- A família candidata a acolhimento familiar pode ser candidata a adoção (atualmente não pode).
- Aumentar apoios financeiros em processos de adoção.",,"1. Riscos de Laços Afetivos Preexistentes: Permitir que familiares biológicos sejam famílias de acolhimento pode apresentar riscos emocionais e afetivos. A criança pode já ter experimentado situações de abuso ou negligência no ambiente familiar original, o que pode dificultar a construção de um ambiente de segurança e confiança, pois os laços afetivos preexistentes podem ser complexos.
2. Possível Desvio de Objetivos da Adoção: A proibição da candidatura à adoção por parte das famílias de acolhimento procura evitar contornos das regras do processo de adoção. Permitir a adoção por parte das famílias de acolhimento poderia criar uma dinâmica em que as famílias, inicialmente interessadas apenas no acolhimento temporário, optem pela adoção devido a laços emocionais já estabelecidos, desviando-se dos objetivos originais do processo de adoção.
3. Necessidade de Avaliações Rigorosas: A equiparação entre diferentes formas de acolhimento, como o apoio junto de outro familiar e a confiança a pessoa idónea, requer avaliações rigorosas para garantir que todos os ambientes ofereçam a segurança e o suporte necessários às crianças. A remoção de barreiras deve ser acompanhada de critérios estritos para assegurar a adequação dos cuidadores.
4. Possíveis Desafios Financeiros: A extensão dos mesmos apoios financeiros a diferentes formas de acolhimento pode gerar desafios financeiros para o sistema, especialmente se o número de crianças em acolhimento aumentar significativamente. A alocação de recursos deve ser cuidadosamente gerida para garantir o bem-estar adequado de todas as crianças em acolhimento.","1. Necessidade de Avaliações Rigorosas:
A equiparação entre diferentes formas de acolhimento requer avaliações rigorosas para garantir que todos os ambientes ofereçam a segurança e o suporte necessários às crianças. A remoção de barreiras deve ser acompanhada de critérios para assegurar a adequação dos cuidadores;

2. Aumento do investimento do Estado: 
Pode significar redução de gastos noutros serviços públicos ou aumento de receita fiscal (impostos).",,Segurança Social,Cidadania,Projeto de Lei,0,1,1,1,1,1,1,1,0,,57,475,456
2,625/XV/1,Valorização das longas carreiras contributivas e aplicação de um regime de aposentação específico para os professores e educadores,Regime de aposentação específico para os professores e educadores,Create a new specific retirement scheme for teachers and educators,11-1-2024,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=152795,PCP,"Destaca a necessidade de valorizar longas carreiras contributivas, propondo a antecipação da idade de acesso à pensão de velhice, sem penalizações, para trabalhadores com 40 anos de contribuições, independentemente da idade. O partido argumenta que é injusto obrigar alguém a trabalhar para sobreviver até à idade legal de reforma após 40 anos de trabalho. Além disso, enfatiza o desgaste físico e psicológico dos educadores e professores, propondo medidas específicas para estes profissionais, como o recálculo das pensões com base no tempo de serviço prestado.

Propõe uma avaliação do impacto da eliminação de regimes especiais de aposentação, a contabilização integral do tempo de serviço para efeitos de aposentação e a promoção de condições gerais de aposentação para os trabalhadores da administração pública. O partido destaca a necessidade de rejuvenescimento da profissão docente, assegurando dignidade, estabilidade, valorização da carreira e combate à precariedade. O projeto visa, assim, melhorar as condições de aposentação, especialmente para professores e educadores, enquanto promove a equidade e justiça nas políticas de reforma.","Diminuir idade de acesso à reforma para trabalhadores com 40 anos de contribuições, sem penalizações, destacando a injustiça de obrigar alguém a trabalhar até à idade legal de reforma após 40 anos de serviço. Para educadores e professores, sugere medidas específicas, incluindo:

- O recálculo das pensões com base no tempo de serviço.
- Eliminar regimes especiais de aposentação.
- Contabilizar integralmente o tempo de serviço.
- Promover condições gerais de aposentação para os trabalhadores da administração pública, na busca de rejuvenescer a profissão docente e melhorar as condições de aposentação.",,"1. Sustentabilidade Financeira: Críticos podem argumentar que antecipar a idade de acesso à pensão de velhice sem penalizações, independentemente da idade, pode sobrecarregar o sistema de segurança social, levando a desafios financeiros e comprometendo a sustentabilidade a longo prazo.
2. Equidade Intergeracional: Alguns podem alegar que a proposta não considera adequadamente a equidade intergeracional, já que beneficiaria uma geração específica (trabalhadores com longas carreiras) em detrimento de outras que poderiam ter que suportar o peso financeiro resultante.
3. Falta de Diferenciação: Críticos podem argumentar que não há uma diferenciação adequada entre profissões, e que a proposta, ao propor medidas específicas para educadores e professores, pode criar disparidades injustas em relação a outros setores igualmente desgastantes.","1. Aumento do investimento do Estado:
Antecipar a idade de acesso à pensão de velhice sem penalizações, independentemente da idade, pode sobrecarregar o sistema de segurança social, comprometendo a sustentabilidade a longo prazo. Pode significar redução de gastos noutros serviços públicos ou aumento de receita fiscal (impostos);

2. Equidade intergeracional:
A proposta beneficiaria uma geração específica (trabalhadores com longas carreiras) em detrimento de outras que poderiam ter que suportar o peso financeiro resultante.",,Segurança Social,Educação,Projeto de Resolução,0,2,1,2,1,1,1,1,0,,65,605,528
3,850/XV/1,Recomenda ao Governo o desenvolvimento e implementação de um novo Referencial de Educação para o Bem-Estar Animal e que a educação para o bem-estar animal seja de caráter obrigatório na disciplina de Cidadania e Desenvolvimento,Incluir educação para o Bem-Estar Animal na escola,Implement an Animal Welfare program at school,11-1-2024,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=173207,PAN,"O projeto insta o Governo a desenvolver um novo Referencial de Educação para o Bem-Estar Animal, independente de outros referenciais educativos, com a participação de profissionais especializados em áreas relevantes. Critica-se o referencial anterior (argumenta-se que, apesar do Decreto-Lei n.º 27/2016 estabelecer a integração do bem-estar animal no ensino desde o 1.º ciclo do Ensino Básico, a implementação prática desse propósito tem sido insuficiente), elaborado em colaboração com várias entidades, por ser considerado pobre em informações técnicas, pedagógicas e científicas, além de não refletir adequadamente a dignidade e os direitos dos animais. A proposta visa, assim, promover a sensibilização e a proteção dos animais, combatendo práticas como os maus-tratos e o abandono, através de uma educação mais efetiva e centrada no respeito pela vida animal.","Critica-se a implementação insuficiente do referencial de 2016 que integrou o bem-estar animal no ensino desde o 1.º ciclo do Ensino Básico. É pobre em informações técnicas, pedagógicas e científicas, além de não refletir adequadamente a dignidade e os direitos dos animais. A proposta visa, assim:

- Incluir o tema de bem-estar animal na disciplina de Cidadania e Desenvolvimento.
- Promover a sensibilização e a proteção dos animais.
- Combater práticas como os maus-tratos e o abandono, através de uma educação mais efetiva e centrada no respeito pela vida animal.",,"1. Carga de Trabalho Adicional: A introdução de um novo domínio obrigatório sobre o bem-estar animal pode aumentar a carga de trabalho para alunos e professores, sobrecarregando o currículo escolar.
2. Flexibilidade Escolar: A flexibilidade nas escolas, permitindo a escolha entre domínios obrigatórios, pode ser mais eficaz para adaptar a educação às necessidades específicas de cada comunidade escolar.
3. Questões Éticas e Morais: O foco em questões éticas e morais relacionadas aos animais pode ser considerado mais apropriado em contextos familiares ou religiosos, não sendo necessariamente uma obrigação da educação formal.","1. Carga de trabalho adicional: 
Um novo domínio obrigatório pode aumentar a carga de trabalho para alunos e professores, sobrecarregando o currículo escolar.",,Animais,,Projeto de Resolução,0,0,2,2,2,1,1,1,0,,50,568,158
4,973/XV/2,Desenvolvimento da Linha de Alta Velocidade Ferroviária Porto – Lisboa,Desenvolver a linha de alta velocidade ferroviária Porto – Lisboa,Build and develop the Porto – Lisbon high speed railway line,9-1-2024,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=263471,PCP,"Propõe a aceleração do desenvolvimento da Linha de Alta Velocidade entre o Porto e Lisboa, uma infraestrutura considerada essencial há aproximadamente 30 anos. Destaca a necessidade de três alterações estruturais: O abandono do modelo de Parceria Público-Privada (PPP) para a construção, modificações na fase 6 da obra para melhorar a ligação a Lisboa, e a consideração imediata da ligação da rede ferroviária nacional ao Aeroporto Internacional de Lisboa. Enfatiza a importância de adotar um traçado que siga pela margem esquerda do Tejo, passando pelo Novo Aeroporto de Lisboa em Alcochete e entrando em Lisboa pela Terceira Travessia do Tejo entre o Barreiro e Lisboa.","Propõe-se:

- A concretização da Linha de Alta Velocidade Porto – Lisboa.
- Estudos para que o troço Carregado – Lisboa possa ser realizado com passagem no Novo Aeroporto de Lisboa e entrada em Lisboa pela Terceira Travessia do Tejo.
- Abandonar o modelo de Parceria Público-Privada (PPP) para o desenvolvimento da obra
- Dotar a empresa Infraestruturas de Portugal (IP) da capacidade operacional para projetar, dirigir e fiscalizar a execução desta obra.
- Acelerar a concretização da Terceira Travessia do Tejo entre o Barreiro e Lisboa em modo rodoferroviário.
- Tornar público o estado atual de elaboração do Plano Ferroviário Nacional.",,"1. Custos Financeiros: Críticos podem apontar para os elevados custos associados à construção de uma Linha de Alta Velocidade, especialmente considerando o histórico de derrapagens orçamentais em projetos semelhantes. Pode ser questionado se os recursos financeiros necessários para essa infraestrutura não poderiam ser direcionados para outras áreas prioritárias, como saúde, educação ou combate à pobreza.
2. Modelo de PPP vs. Gestão Pública: Argumenta-se que o envolvimento do setor privado poderia trazer eficiência e inovação à construção e operação da linha. Além disso, pode ser questionado se a gestão pública seria mais eficaz em termos de custos e prazos de execução.
3. Traçado Alternativo: A proposta de adotar um traçado na margem esquerda do Tejo pode ser contestada por razões ambientais, sociais ou económicas. Pode haver preocupações relacionadas a impactos ambientais, deslocamento de comunidades locais ou aumento nos custos de expropriação de terras.","1. Aumento do investimento do Estado:
Elevados custos, especialmente considerando o histórico de derrapagens orçamentais em projetos semelhantes. Pode significar redução de gastos noutros serviços públicos ou aumento de receita fiscal (impostos);

2. Modelo de PPP vs. Gestão Pública:
O envolvimento do setor privado pode trazer eficiência e inovação à construção e operação da linha;

3. Preocupações ambientais e sociais do traçado alternativo:
A proposta de adotar um traçado na margem esquerda do Tejo pode ser contestada por razões ambientais, sociais e económicas (deslocamento de comunidades locais ou aumento nos custos de expropriação de terras).",,Infraestruturas,,Projeto de Resolução,1,0,0,2,1,1,1,1,1,,65,640,655
5,91/XV,Regula o acesso a metadados referentes a comunicações eletrónicas para fins de investigação criminal.,Regular o acesso a dados de comunicações eletrónicas para fins de investigação criminal,Regulate the access to digital data from electronic communications for criminal investigation purposes,5-1-2024,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheDiplomaAprovado.aspx?BID=84166,PS,"Regula o acesso a metadados de comunicações eletrónicas para fins de investigação criminal e procede a alterações específicas à Lei. Este decreto ajusta a legislação nacional às diretrizes europeias e reforça os procedimentos relacionados à conservação e tratamento de dados, estabelecendo períodos específicos de retenção e introduzindo requisitos de autorização judicial para extensões de conservação. Além disso, o decreto enfatiza a importância da segurança dos dados e da proteção da privacidade, estabelecendo medidas rigorosas de proteção e definindo responsabilidades claras para as entidades responsáveis. A lei também estabelece procedimentos para notificação e cooperação internacional em matéria de transmissão de dados.","Pretende-se alinhar a legislação nacional com as normas europeias. Propõe-se:

- Estabelecer períodos específicos de retenção e exigir autorização judicial para extensões.
- Priorizar a segurança dos dados e privacidade, implementando medidas rigorosas.
- Introduzir procedimentos para notificação e cooperação internacional na transmissão de dados.",,"1. Preocupações com a Privacidade: Critica-se que o decreto compromete significativamente a privacidade dos cidadãos, uma vez que facilita o acesso a metadados de comunicações eletrónicas. A retenção prolongada de dados e a possibilidade de prorrogação mediante autorização judicial podem ser vistas como uma intrusão excessiva na vida privada dos indivíduos.
2. Riscos de Abuso e Vigilância Excessiva: Existem preocupações sobre o potencial de abuso dessas novas disposições, permitindo que as autoridades tenham acesso indiscriminado a informações pessoais.Teme-se que isso possa levar a práticas de vigilância excessiva ou arbitrária, especialmente se os critérios para a extensão da conservação não forem estritamente definidos e controlados.
3. Impacto nas Empresas e Serviços de Comunicação: As empresas de comunicação podem enfrentar desafios operacionais e custos adicionais significativos para implementar e manter as exigências de retenção de dados. Além disso, existe o risco de danos à reputação e à confiança do cliente se os consumidores perceberem que sua privacidade está comprometida.","1. Preocupações com a privacidade:
A retenção prolongada de dados e a possibilidade de prorrogação mediante autorização judicial podem ser vistas como uma intrusão excessiva na vida privada dos indivíduos;

2. Riscos de abuso:
Teme-se que isso possa levar a práticas de vigilância excessiva ou arbitrária, especialmente se os critérios para a extensão da conservação não forem estritamente definidos e controlados;

3. Impacto nas empresas de comunicação: 
Custos adicionais para implementar e manter as exigências de retenção de dados. Além disso, existe o risco de danos à reputação e à confiança do cliente se os consumidores perceberem que sua privacidade está comprometida.",,Proteção Civil,Privacidade,Reapreciação do Decreto,1,1,2,2,2,0,1,2,1,,87,349,678
6,72/XV/1,Reforça a proteção da orientação sexual através da proibição e criminalização de “práticas de conversão” que visam a repressão da identidade ou expressão de género.,Criminalizar “práticas de conversão” que reprimem a identidade de género,Prohibit and criminalize “conversion practices” that aim to repress gender identity or expression,21-12-2023,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=121460,BE,"Embora a legislação constitucional afirme a igualdade de todos os cidadãos perante a lei, reforçando a necessidade de promover e garantir essa dignidade para todos, independentemente da orientação sexual, identidade ou expressão de género, práticas como as ""terapias de conversão"", que procuram alterar essas características fundamentais, podem ser consideradas prejudiciais, não terapêuticas e até resultar em sérios danos físicos e psicológicos.  Este decreto prevê a criminalização de práticas com vista à alteração, limitação ou repressão da orientação sexual, da identidade ou expressão de género, e promove o estudo destas práticas em Portugal e a garantia de mecanismos de apoio e resposta.","Há uma contradição entre a legislação constitucional que defende a igualdade para todos, independentemente da orientação sexual, identidade ou expressão de género, e práticas como as ""terapias de conversão"" que defendem que essa orientação pode e deve ser alteradas para as adaptar a uma ideia de heteronormatividade. Propõe-se:

- Criminalizar essas práticas, visando alterar, limitar ou reprimir a orientação sexual, identidade ou expressão de género.
- Implementar mecanismos de apoio e resposta para prevenir danos físicos e psicológicos.",,"1. Direitos Individuais e Liberdade de Escolha: Argumenta-se que a criminalização de certas práticas pode infringir os direitos individuais e a liberdade de escolha, especialmente em questões relacionadas à saúde e terapia. Debate-se sobre até que ponto o Estado deve intervir em decisões pessoais e tratamentos médicos.
2. Definições de Scope: Pode haver desafios na definição clara e no âmbito das práticas que seriam criminalizadas. Definir o que constitui uma ""terapia de conversão"" ou outras práticas prejudiciais pode-se tornar complexo e requerer uma análise cuidadosa.
3. Eficácia da Criminalização: Questiona-se a eficácia da criminalização como meio de combater tais práticas. Argumenta-se que medidas educativas, de sensibilização e de regulação profissional podem ser mais eficazes do que a criminalização em si.
4. Mecanismos de Apoio e Resposta: A proposta destaca a importância de garantir mecanismos de apoio e resposta adequados. No entanto, a implementação e manutenção desses mecanismos podem exigir recursos significativos, coordenação entre várias entidades e uma abordagem multidisciplinar.","1. Sanções penais desproporcionais:
Proposta introduz uma sanção acessória quase perpétua, o que pode não ser proporcional à prática que se quer criminalizar. Medidas educativas, de sensibilização e de regulação profissional podem ser mais eficazes do que a criminalização em si;

2. Diminuição de direitos individuais e liberdade de escolha:
Pode-se infringir os direitos individuais e a liberdade de escolha, especialmente em questões relacionadas à saúde e terapia.",,Cidadania,Igualdade de Género,Votação Final Global,1,0,0,1,1,1,1,1,1,,72,542,468
7,952/XV/2,Recomenda ao Governo que dê maior importância à literacia financeira em contexto escolar.,Dar maior importância à literacia financeira em contexto escolar,Enhance the importance of financial literacy in schools' curriculum,21-12-2023,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=263408,IL,"Destaca a complexidade crescente do mundo financeiro, a necessidade de tomadas de decisão informadas e os desafios apresentados por produtos financeiros digitais. Apesar de Portugal ter iniciativas como o Plano Nacional de Formação Financeira desde 2011, os níveis de literacia financeira no país são preocupantemente baixos, com uma diminuição entre 2015 e 2020. O projeto recomenda a atualização do Referencial de Educação Financeira, a inclusão de temas financeiros básicos no currículo do ensino básico e a integração explícita da literacia financeira no perfil educacional dos alunos.

A resolução tem como objetivo que os Portugueses desenvolvam hábitos de poupança e façam escolhas financeiras responsáveis, sabendo gerir os seus recursos. Além disso, destaca a importância da literacia financeira na promoção da equidade, inclusão e mobilidade social, particularmente entre grupos desfavorecidos.","Há uma crescente complexidade financeira global e falta de literacia financeira em Portugal: somos o 2º país com pior nível de literacia financeira entre os países desenvolvidos. Foi desenvolvido um plano de formação financeira, mas as entidades responsáveis reconhecem que não tem tido o impacto pretendido (o indicador de literacia financeira diminuiu, de 68.3 em 2015 para 61.7 em 2020). Propõe-se:

- A atualização do Referencial de Educação Financeira.
- A inclusão de temas financeiros no currículo do ensino básico (para não ser dependente da escolha vocacional no secundário).
- Incluir literacia financeira nas áreas de competências do Perfil do Aluno à Saída da Escolaridade Obrigatória.",,"1. Recursos e Financiamento: A implementação de programas educacionais requer recursos financeiros, materiais e humanos. Pode haver preocupações sobre a disponibilidade de recursos adequados para capacitar professores, desenvolver materiais educativos e sustentar iniciativas de longo prazo.
2. Formação de Professores: Para integrar efetivamente a educação financeira no currículo escolar, pode ser necessário investir em programas de formação e desenvolvimento profissional para garantir que os educadores/professores estejam preparados e confiantes para abordar temas financeiros na sala de aula.
3. Desenvolvimento Curricular: A revisão e atualização do currículo para incluir temas financeiros básicos exigirá tempo, expertise e coordenação entre os responsáveis da educação. Pode haver desafios na definição de conteúdos relevantes, idade apropriada para a introdução de certos temas e integração com outros aspectos do currículo.
4. Avaliação e Monitorização: Medir o impacto e a eficácia das iniciativas de educação financeira pode ser complexo. Será necessário desenvolver métodos de avaliação adequados e estabelecer indicadores de desempenho para monitorizar o progresso e os resultados ao longo do tempo.
5. Diversidade de Contextos: Considerando a diversidade de contextos educativos e sociais em Portugal, pode ser necessário adaptar e personalizar as abordagens de educação financeira para atender às necessidades específicas de diferentes grupos e comunidades.","1. Aumento do investimento do Estado:
Questiona-se a disponibilidade de recursos adequados para capacitar professores e desenvolver materiais educativos;

2. Dificuldade de implementação:
Desafios na definição de conteúdos relevantes, idade apropriada para a introdução de certos temas e a garantir que os temas estão a ser lecionados com a devida seriedade.",,Educação,Finanças,Deliberação,0,1,1,1,2,0,1,2,0,,64,697,358
8,957/XV/2,"Recomenda ao Governo que encete todos os esforços diplomáticos para defender a criação do Estado da Palestina, a par da existência do Estado de Israel, lado a lado, a viver em paz e segurança.","Defender a criação do Estado da Palestina, a par da existência do Estado de Israel","Defend the creation of the State of Palestine, alongside the existence of the State of Israel",19-12-2023,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=263430,PS,"A resolução pede a Portugal que intensifique esforços diplomáticos para apoiar a criação de um Estado da Palestina. Em resposta ao crescente conflito entre palestinos e israelenses, especialmente após recentes ataques, Portugal é instado a promover um cessar-fogo imediato, rejeitar radicalismos e terrorismo, e trabalhar em prol da cooperação e compreensão mútua. A resolução sublinha a necessidade de Portugal, dada sua tradição diplomática e posição consistente de apoiar uma solução de dois Estados, agir como mediador e defensor ativo da paz na região, em conformidade com as resoluções da ONU sobre o conflito.","Recomenda-se intensificar esforços diplomáticos para apoiar a criação de um Estado da Palestina, enfatizando a necessidade de um cessar-fogo imediato no contexto do crescente conflito entre palestinos e israelenses. Propõe-se:

- Usar todos os recursos diplomáticos e influência internacional para defender as Resoluções das Nações Unidas relativas ao conflito israelo-palestiniano.
- Defender a existência de dois Estados viáveis e sustentáveis, na base de uma repartição de território justa e mutuamente aceite, de forma a garantir que possam viver, lado a lado, em paz e segurança.",,"1. Neutralidade e Soberania: Alguns argumentam que Portugal deve manter uma postura neutra e respeitar a soberania de outros países ao abordar questões internacionais delicadas. Intervir ativamente pode ser visto por algumas partes como parcialidade ou interferência nos assuntos internos.
2. Complexidade do Conflito: O conflito entre Israel e Palestina é profundamente complexo e multifacetado, que envolvem questões históricas, religiosas, políticas e territoriais. A busca por uma solução duradoura e justa exige uma compreensão aprofundada e uma abordagem equilibrada que considere as preocupações e aspirações de ambas as partes.
3. Resoluções da ONU: Embora as resoluções da ONU forneçam um quadro legal e diplomático para abordar o conflito, a implementação dessas resoluções pode enfrentar desafios significativos devido à falta de consenso internacional e à dinâmica geopolítica complexa envolvida.","1. Necessidade de neutralidade e soberania: 
Pode argumentar-se que Portugal deve manter uma postura neutra e respeitar a soberania de outros países ao abordar questões internacionais delicadas;

2. Dificuldade de implementação:
Embora as resoluções da ONU forneçam um quadro legal e diplomático para abordar o conflito, a implementação dessas resoluções pode enfrentar desafios significativos devido à falta de consenso internacional e à dinâmica geopolítica complexa envolvida.",,Relações internacionais,Estado,Votação na Generalidade,1,1,2,1,2,1,1,1,1,,82,584,479
9,940/XV/2,,Introduzir um círculo de compensação nacional nas eleições legislativas,,15-12-2023,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=243359,IL,,"730 mil votos (13% dos votantes) nas eleições legislativas de 2022 não elegeram qualquer deputado. Em Portugal existem vários círculos eleitorais correspondentes aos distritos do país para garantir que se atacam os problemas das diferentes comunidades do país. No entanto, faz com que alguns votos são mais úteis do que outros: em Lisboa um voto na primeira escolha tem um impacto significativo. Em Portalegre ou Bragança é-se incentivado a votar numa das maiores forças partidárias (contrariamente aos princípios da representação proporcional) para o voto contar para a eleição de algum deputado. Propõe-se:

- Criação dum círculo de compensação nacional que elegeria 40 deputados.",,,"1. Maior fragmentação partidária:
A proposta facilita partidos pequenos a elegerem deputados, aumentando o número de partidos com assento parlamentar. Isto pode dificultar a formação de governos estáveis, tornando o sistema político mais suscetível a mudanças frequentes;

2. Proximidade de eleições:
Com a proximidade das eleições legislativas, pode não haver tempo suficiente para uma implementação sólida deste modelo.",,Cidadania,,Projeto de Lei,0,0,1,1,0,1,1,1,0,,71,682,421
10,664/XV/1,Estabelece a quota mínima obrigatória de 30% de música portuguesa na programação musical dos serviços de programas de rádio.,Haver quota mínima de 30% de música portuguesa na rádio,Implement a minimum quota of 30% of Portuguese music share on the radio,15-12-2023,https://www.parlamento.pt/ActividadeParlamentar/Paginas/DetalheIniciativa.aspx?BID=152661,BE,"Prioritiza a promoção da cultura, língua e música portuguesas. Inicialmente, estabeleceu-se que 25% da programação musical deveria ser preenchida com música portuguesa. No entanto, em 2021, o Governo elevou essa quota para 30%, mas recentemente decidiu reduzi-la novamente para 25%. A proposta critica esta decisão, argumentando que prejudica os profissionais da música e subestima a produção musical portuguesa. Propõe, por isso, uma lei que fixe uma quota de 30% a 40% de música portuguesa na programação de radio, alterando a Lei da Rádio aprovada em 2010.","Prioritiza a promoção da cultura, língua e música portuguesas. Inicialmente estabeleceu-se que 25% da programação musical deveria ser preenchida com música portuguesa. Passou para 30% em 2021, mas recentemente foi reduzida novamente para 25%. Esta decisão subestima a produção musical portuguesa e prejudica os profissionais da música que trabalham num setor cronicamente subfinanciado, sendo evidente que as receitas provenientes da rádio são necessárias para estes profissionais. Propõe-se: 

- Fixar uma quota de 30% a 40% de música portuguesa na programação de radio para maior proteção do setor musical português.",,"1. Liberdade Editorial e Artística: Estabelecer quotas específicas para a programação musical pode levantar questões sobre a liberdade editorial e artística das rádios. Argumenta-se que as mesmas devem ter a flexibilidade de determinar a sua programação com base nas preferências do público, tendências musicais e outros critérios relevantes.
2. Diversidade Musical: Embora a promoção da música portuguesa seja louvável, é importante também valorizar a diversidade musical e cultural, permitindo que as rádios ofereçam uma variedade de estilos, géneros e artistas, incluindo música internacional.
3. Impacto na Indústria Musical: A fixação de quotas pode ter implicações para a indústria musical, afetando a visibilidade, promoção e sustentabilidade de diferentes artistas e géneros musicais. É essencial considerar o impacto económico e profissional das quotas na indústria musical como um todo.
4. Implementação e Fiscalização: A aplicação e fiscalização das quotas requerem mecanismos adequados para garantir o cumprimento das regulamentações e abordar potenciais desafios ou obstáculos na implementação.
5. Métodos de Promoção da Música Portuguesa: Embora a promoção da música portuguesa seja um objetivo válido, é importante considerar abordagens complementares para apoiar artistas nacionais, como incentivos fiscais, subsídios, programas de formação e oportunidades de exposição em diferentes plataformas e eventos.","1. Liberdade editorial e artística:
As rádios devem ter a flexibilidade de determinar a sua programação com base nas preferências do público, tendências musicais e outros critérios relevantes;

2. Pouca distribuição do tempo de antena:
As rádios podem satisfazer as quotas obrigatórias simplesmente passando mais vezes os músicos mais populares que já faziam parte da programação, não dando oportunidades a outros músicos com maior necessidade de financiamento e projeção.",,Cultura,,Votação Final Global,1,0,2,0,1,1,1,1,1,,55,618,472
